Equipo: France
Jugador 1 | Goles: 0
Jugador 14 | Goles: 0
Jugador 15 | Goles: 0
Jugador 16 | Goles: 0
Jugador 17 | Goles: 0
Jugador 18 | Goles: 0
Jugador 19 | Goles: 0
Jugador 20 | Goles: 0
Jugador 21 | Goles: 1
Jugador 22 | Goles: 0
Jugador 23 | Goles: 1
Jugador 24 | Goles: 0
Jugador 25 | Goles: 1
Jugador 26 | Goles: 0
----------------------
Equipo: Cameroon
Jugador 1 | Goles: 0
Jugador 2 | Goles: 0
Jugador 3 | Goles: 0
Jugador 4 | Goles: 1
Jugador 5 | Goles: 0
Jugador 6 | Goles: 0
Jugador 7 | Goles: 0
Jugador 8 | Goles: 0
Jugador 9 | Goles: 1
Jugador 10 | Goles: 0
Jugador 11 | Goles: 0
Jugador 12 | Goles: 2
Jugador 13 | Goles: 2
Jugador 14 | Goles: 1
Jugador 15 | Goles: 1
Jugador 16 | Goles: 0
Jugador 17 | Goles: 1
Jugador 18 | Goles: 0
Jugador 19 | Goles: 2
Jugador 20 | Goles: 0
Jugador 21 | Goles: 0
Jugador 22 | Goles: 1
Jugador 23 | Goles: 0
Jugador 24 | Goles: 3
Jugador 25 | Goles: 0
Jugador 26 | Goles: 1
----------------------
Equipo: Scotland
Jugador 1 | Goles: 0
Jugador 2 | Goles: 1
Jugador 3 | Goles: 0
Jugador 4 | Goles: 0
Jugador 5 | Goles: 0
Jugador 6 | Goles: 0
Jugador 7 | Goles: 0
Jugador 8 | Goles: 0
Jugador 9 | Goles: 0
Jugador 10 | Goles: 1
Jugador 11 | Goles: 0
Jugador 12 | Goles: 0
Jugador 13 | Goles: 0
Jugador 14 | Goles: 0
Jugador 15 | Goles: 0
Jugador 16 | Goles: 0
Jugador 17 | Goles: 0
Jugador 18 | Goles: 0
Jugador 19 | Goles: 0
Jugador 20 | Goles: 0
Jugador 21 | Goles: 0
Jugador 22 | Goles: 1
Jugador 23 | Goles: 0
Jugador 24 | Goles: 0
Jugador 25 | Goles: 0
Jugador 26 | Goles: 0
----------------------
Equipo: Uzbekistan
Jugador 1 | Goles: 0
Jugador 2 | Goles: 1
Jugador 3 | Goles: 2
Jugador 4 | Goles: 0
Jugador 5 | Goles: 0
Jugador 6 | Goles: 1
Jugador 7 | Goles: 0
Jugador 8 | Goles: 0
Jugador 9 | Goles: 0
Jugador 10 | Goles: 1
Jugador 11 | Goles: 0
Jugador 12 | Goles: 0
Jugador 13 | Goles: 2
Jugador 14 | Goles: 0
Jugador 15 | Goles: 0
Jugador 16 | Goles: 1
Jugador 17 | Goles: 0
Jugador 18 | Goles: 0
Jugador 19 | Goles: 1
Jugador 20 | Goles: 0
Jugador 21 | Goles: 1
Jugador 22 | Goles: 0
Jugador 23 | Goles: 1
Jugador 24 | Goles: 0
Jugador 25 | Goles: 2
Jugador 26 | Goles: 0
----------------------
Equipo: South Africa
Jugador 1 | Goles: 1
Jugador 2 | Goles: 0
Jugador 3 | Goles: 0
Jugador 4 | Goles: 0
Jugador 5 | Goles: 1
Jugador 6 | Goles: 0
Jugador 7 | Goles: 1
Jugador 8 | Goles: 0
Jugador 9 | Goles: 0
Jugador 10 | Goles: 1
Jugador 11 | Goles: 0
Jugador 12 | Goles: 0
Jugador 13 | Goles: 0
Jugador 14 | Goles: 0
Jugador 15 | Goles: 2
Jugador 16 | Goles: 0
Jugador 17 | Goles: 0
Jugador 18 | Goles: 1
Jugador 19 | Goles: 1
Jugador 20 | Goles: 0
Jugador 21 | Goles: 0
Jugador 22 | Goles: 1
Jugador 23 | Goles: 1
Jugador 24 | Goles: 0
Jugador 25 | Goles: 1
Jugador 26 | Goles: 2
----------------------
Equipo: Saudi Arabia
Jugador 1 | Goles: 0
Jugador 2 | Goles: 0
Jugador 3 | Goles: 0
Jugador 4 | Goles: 1
Jugador 5 | Goles: 0
Jugador 6 | Goles: 0
Jugador 7 | Goles: 1
Jugador 8 | Goles: 1
Jugador 9 | Goles: 0
Jugador 10 | Goles: 0
Jugador 11 | Goles: 0
Jugador 12 | Goles: 1
Jugador 13 | Goles: 1
Jugador 14 | Goles: 1
Jugador 15 | Goles: 0
Jugador 16 | Goles: 0
Jugador 17 | Goles: 0
Jugador 18 | Goles: 0
Jugador 19 | Goles: 1
Jugador 20 | Goles: 1
Jugador 21 | Goles: 0
Jugador 22 | Goles: 0
Jugador 23 | Goles: 1
Jugador 24 | Goles: 0
Jugador 25 | Goles: 0
Jugador 26 | Goles: 0
----------------------
Equipo: Bosnia and Herzegovina
Jugador 1 | Goles: 0
Jugador 2 | Goles: 1
Jugador 3 | Goles: 0
Jugador 4 | Goles: 0
Jugador 5 | Goles: 0
Jugador 6 | Goles: 1
Jugador 7 | Goles: 0
Jugador 8 | Goles: 0
Jugador 9 | Goles: 0
Jugador 10 | Goles: 0
Jugador 11 | Goles: 0
Jugador 12 | Goles: 0
Jugador 13 | Goles: 0
Jugador 14 | Goles: 2
Jugador 15 | Goles: 0
Jugador 16 | Goles: 0
Jugador 17 | Goles: 0
Jugador 18 | Goles: 0
Jugador 19 | Goles: 0
Jugador 20 | Goles: 0
Jugador 21 | Goles: 0
Jugador 22 | Goles: 0
Jugador 23 | Goles: 0
Jugador 24 | Goles: 0
Jugador 25 | Goles: 0
Jugador 26 | Goles: 0
----------------------
Equipo: Iraq
Jugador 1 | Goles: 1
Jugador 2 | Goles: 0
Jugador 3 | Goles: 2
Jugador 4 | Goles: 0
Jugador 5 | Goles: 0
Jugador 6 | Goles: 1
Jugador 7 | Goles: 0
Jugador 8 | Goles: 0
Jugador 9 | Goles: 1
Jugador 10 | Goles: 1
Jugador 11 | Goles: 0
Jugador 12 | Goles: 0
Jugador 13 | Goles: 1
Jugador 14 | Goles: 1
Jugador 15 | Goles: 0
Jugador 16 | Goles: 0
Jugador 17 | Goles: 0
Jugador 18 | Goles: 0
Jugador 19 | Goles: 2
Jugador 20 | Goles: 0
Jugador 21 | Goles: 1
Jugador 22 | Goles: 1
Jugador 23 | Goles: 0
Jugador 24 | Goles: 0
Jugador 25 | Goles: 1
Jugador 26 | Goles: 0
----------------------
Equipo: Jordan
Jugador 1 | Goles: 0
Jugador 2 | Goles: 1
Jugador 3 | Goles: 0
Jugador 4 | Goles: 1
Jugador 5 | Goles: 0
Jugador 6 | Goles: 0
Jugador 7 | Goles: 0
Jugador 8 | Goles: 0
Jugador 9 | Goles: 0
Jugador 10 | Goles: 0
Jugador 11 | Goles: 0
Jugador 12 | Goles: 0
Jugador 13 | Goles: 1
Jugador 14 | Goles: 1
Jugador 15 | Goles: 2
Jugador 16 | Goles: 0
Jugador 17 | Goles: 0
Jugador 18 | Goles: 1
Jugador 19 | Goles: 1
Jugador 20 | Goles: 0
Jugador 21 | Goles: 0
Jugador 22 | Goles: 1
Jugador 23 | Goles: 0
Jugador 24 | Goles: 2
Jugador 25 | Goles: 0
Jugador 26 | Goles: 1
----------------------
Equipo: Ghana
Jugador 1 | Goles: 0
Jugador 2 | Goles: 0
Jugador 3 | Goles: 2
Jugador 4 | Goles: 0
Jugador 5 | Goles: 0
Jugador 6 | Goles: 0
Jugador 7 | Goles: 1
Jugador 8 | Goles: 3
Jugador 9 | Goles: 1
Jugador 10 | Goles: 0
Jugador 11 | Goles: 0
Jugador 12 | Goles: 0
Jugador 13 | Goles: 0
Jugador 14 | Goles: 0
Jugador 15 | Goles: 1
Jugador 16 | Goles: 1
Jugador 17 | Goles: 0
Jugador 18 | Goles: 1
Jugador 19 | Goles: 1
Jugador 20 | Goles: 0
Jugador 21 | Goles: 0
Jugador 22 | Goles: 0
Jugador 23 | Goles: 0
Jugador 24 | Goles: 0
Jugador 25 | Goles: 2
Jugador 26 | Goles: 0
----------------------
Equipo: DR Congo
Jugador 1 | Goles: 0
Jugador 2 | Goles: 0
Jugador 3 | Goles: 0
Jugador 4 | Goles: 0
Jugador 5 | Goles: 0
Jugador 6 | Goles: 1
Jugador 7 | Goles: 0
Jugador 8 | Goles: 0
Jugador 9 | Goles: 0
Jugador 10 | Goles: 1
Jugador 11 | Goles: 0
Jugador 12 | Goles: 1
Jugador 13 | Goles: 0
Jugador 14 | Goles: 0
Jugador 15 | Goles: 2
Jugador 16 | Goles: 1
Jugador 17 | Goles: 0
Jugador 18 | Goles: 2
Jugador 19 | Goles: 0
Jugador 20 | Goles: 0
Jugador 21 | Goles: 0
Jugador 22 | Goles: 1
Jugador 23 | Goles: 0
Jugador 24 | Goles: 1
Jugador 25 | Goles: 0
Jugador 26 | Goles: 0
----------------------
Equipo: Haiti
Jugador 1 | Goles: 0
Jugador 2 | Goles: 1
Jugador 3 | Goles: 0
Jugador 4 | Goles: 0
Jugador 5 | Goles: 0
Jugador 6 | Goles: 1
Jugador 7 | Goles: 1
Jugador 8 | Goles: 0
Jugador 9 | Goles: 0
Jugador 10 | Goles: 1
Jugador 11 | Goles: 1
Jugador 12 | Goles: 0
Jugador 13 | Goles: 1
Jugador 14 | Goles: 0
Jugador 15 | Goles: 0
Jugador 16 | Goles: 0
Jugador 17 | Goles: 0
Jugador 18 | Goles: 0
Jugador 19 | Goles: 0
Jugador 20 | Goles: 0
Jugador 21 | Goles: 0
Jugador 22 | Goles: 0
Jugador 23 | Goles: 0
Jugador 24 | Goles: 1
Jugador 25 | Goles: 0
Jugador 26 | Goles: 1
----------------------
Equipo: New Zealand
Jugador 1 | Goles: 1
Jugador 2 | Goles: 2
Jugador 3 | Goles: 1
Jugador 4 | Goles: 1
Jugador 5 | Goles: 2
Jugador 6 | Goles: 1
Jugador 7 | Goles: 1
Jugador 8 | Goles: 1
Jugador 9 | Goles: 1
Jugador 10 | Goles: 0
Jugador 11 | Goles: 0
Jugador 12 | Goles: 0
Jugador 13 | Goles: 1
Jugador 14 | Goles: 0
Jugador 15 | Goles: 0
Jugador 16 | Goles: 0
Jugador 17 | Goles: 0
Jugador 18 | Goles: 2
Jugador 19 | Goles: 1
Jugador 20 | Goles: 2
Jugador 21 | Goles: 0
Jugador 22 | Goles: 1
Jugador 23 | Goles: 0
Jugador 24 | Goles: 0
Jugador 25 | Goles: 1
Jugador 26 | Goles: 1
----------------------
Equipo: Cabo Verde
Jugador 1 | Goles: 0
Jugador 2 | Goles: 0
Jugador 3 | Goles: 0
Jugador 4 | Goles: 0
Jugador 5 | Goles: 0
Jugador 6 | Goles: 0
Jugador 7 | Goles: 1
Jugador 8 | Goles: 0
Jugador 9 | Goles: 1
Jugador 10 | Goles: 0
Jugador 11 | Goles: 0
Jugador 12 | Goles: 0
Jugador 13 | Goles: 0
Jugador 14 | Goles: 0
Jugador 15 | Goles: 1
Jugador 16 | Goles: 0
Jugador 17 | Goles: 1
Jugador 18 | Goles: 0
Jugador 19 | Goles: 0
Jugador 20 | Goles: 1
Jugador 21 | Goles: 0
Jugador 22 | Goles: 0
Jugador 23 | Goles: 0
Jugador 24 | Goles: 0
Jugador 25 | Goles: 0
Jugador 26 | Goles: 0
----------------------
